	TCGA.OR.A5J1.01A	TCGA.OR.A5J2.01A	TCGA.OR.A5J3.01A	TCGA.OR.A5J5.01A	TCGA.OR.A5J6.01A	TCGA.OR.A5J7.01A	TCGA.OR.A5J8.01A	TCGA.OR.A5J9.01A	TCGA.OR.A5JA.01A	TCGA.OR.A5JB.01A	TCGA.OR.A5JC.01A	TCGA.OR.A5JD.01A	TCGA.OR.A5JE.01A	TCGA.OR.A5JF.01A	TCGA.OR.A5JG.01A	TCGA.OR.A5JI.01A	TCGA.OR.A5JJ.01A	TCGA.OR.A5JK.01A	TCGA.OR.A5JL.01A	TCGA.OR.A5JM.01A	TCGA.OR.A5JO.01A	TCGA.OR.A5JP.01A	TCGA.OR.A5JQ.01A	TCGA.OR.A5JR.01A	TCGA.OR.A5JS.01A	TCGA.OR.A5JT.01A	TCGA.OR.A5JV.01A	TCGA.OR.A5JW.01A	TCGA.OR.A5JX.01A	TCGA.OR.A5JY.01A	TCGA.OR.A5JZ.01A	TCGA.OR.A5K0.01A	TCGA.OR.A5K1.01A	TCGA.OR.A5K2.01A	TCGA.OR.A5K3.01A	TCGA.OR.A5K4.01A	TCGA.OR.A5K5.01A	TCGA.OR.A5K6.01A	TCGA.OR.A5K8.01A	TCGA.OR.A5K9.01A	TCGA.OR.A5KO.01A	TCGA.OR.A5KT.01A	TCGA.OR.A5KU.01A	TCGA.OR.A5KV.01A	TCGA.OR.A5KW.01A	TCGA.OR.A5KX.01A	TCGA.OR.A5KY.01A	TCGA.OR.A5KZ.01A	TCGA.OR.A5L3.01A	TCGA.OR.A5L4.01A	TCGA.OR.A5L5.01A	TCGA.OR.A5L6.01A	TCGA.OR.A5L8.01A	TCGA.OR.A5L9.01A	TCGA.OR.A5LA.01A	TCGA.OR.A5LB.01A	TCGA.OR.A5LC.01A	TCGA.OR.A5LD.01A	TCGA.OR.A5LE.01A	TCGA.OR.A5LG.01A	TCGA.OR.A5LH.01A	TCGA.OR.A5LJ.01A	TCGA.OR.A5LK.01A	TCGA.OR.A5LL.01A	TCGA.OR.A5LM.01A	TCGA.OR.A5LN.01A	TCGA.OR.A5LO.01A	TCGA.OR.A5LP.01A	TCGA.OR.A5LR.01A	TCGA.OR.A5LS.01A	TCGA.OR.A5LT.01A	TCGA.OU.A5PI.01A	TCGA.P6.A5OF.01A	TCGA.P6.A5OG.01A	TCGA.PA.A5YG.01A	TCGA.PK.A5H8.01A	TCGA.PK.A5H9.01A	TCGA.PK.A5HA.01A	TCGA.PK.A5HB.01A
cg00121640	0.05	0.04	0.04	0.04	0.06	0.07	0.06	0.03	0.05	0.34	0.04	0.05	0.03	0.05	0.07	0.05	0.06	0.07	0.04	0.14	0.07	0.04	0.05	0.05	0.05	0.04	0.07	0.07	0.04	0.03	0.05	0.07	0.03	0.05	0.04	0.03	0.05	0.04	0.03	0.05	0.03	0.05	0.03	0.03	0.04	0.07	0.06	0.05	0.05	0.04	0.05	0.06	0.05	0.03	0.05	0.07	0.21	0.03	0.05	0.04	0.04	0.04	0.05	0.06	0.05	0.04	0.05	0.05	0.04	0.06	0.06	0.04	0.05	0.18	0.05	0.03	0.04	0.24	0.04
cg05793077	0.05	0.04	0.05	0.05	0.04	0.04	0.04	0.09	0.17	0.05	0.04	0.04	0.04	0.05	0.05	0.04	0.07	0.05	0.04	0.04	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.06	0.04	0.04	0.05	0.61	0.05	0.05	0.06	0.04	0.04	0.06	0.04	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.07	0.04	0.04	0.04	0.03	0.05	0.04	0.04	0.04	0.04	0.03	0.07	0.04	0.04	0.04	0.05	0.05	0.04	0.04	0.04	0.04	0.04	0.04	0.06	0.04	0.04	0.05	0.04	0.04	0.04	0.04	0.04	0.46
cg07190485	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.05	0.03	0.05	0.05	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.02	0.03	0.03	0.04	0.04	0.03	0.05	0.04
cg10493166	0.1	0.05	0.03	0.15	0.05	0.69	0.41	0.62	0.06	0.05	0.37	0.03	0.64	0.05	0.27	0.18	0.14	0.05	0.05	0.92	0.05	0.81	0.06	0.04	0.09	0.06	0.03	0.45	0.04	0.56	0.04	0.05	0.05	0.53	0.42	0.07	0.81	0.06	0.45	0.25	0.09	0.05	0.06	0.05	0.04	0.1	0.16	0.06	0.04	0.04	0.13	0.12	0.1	0.08	0.03	0.09	0.16	0.85	0.08	0.04	0.04	0.04	0.36	0.13	0.34	0.06	0.46	0.04	0.07	0.59	0.06	0.13	0.5	0.04	0.05	0.67	0.21	0.65	0.42
cg12927153	0.02	0.02	0.02	0.02	0.02	0.73	0.02	0.49	0.02	0.01	0.08	0.01	0.61	0.01	0.02	0.02	0.01	0.02	0.02	0.91	0.02	0.75	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.8	0.01	0.02	0.01	0.53	0.01	0.02	0.8	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.03	0.85	0.02	0.01	0.02	0.01	0.02	0.04	0.01	0.01	0.04	0.02	0.01	0.02	0.01	0.02	0.27	0.02	0.01	0.01	0.02	0.04	0.02
cg03283569	0.03	0.06	0.04	0.1	0.06	0.07	0.19	0.08	0.06	0.06	0.04	0.07	0.09	0.05	0.05	0.09	0.15	0.15	0.04	0.04	0.07	0.07	0.1	0.05	0.04	0.04	0.06	0.05	0.04	0.04	0.05	0.04	0.04	0.06	0.07	0.04	0.05	0.04	0.04	0.05	0.07	0.04	0.06	0.08	0.06	0.04	0.18	0.05	0.06	0.06	0.09	0.06	0.06	0.09	0.11	0.08	0.03	0.06	0.07	0.04	0.06	0.07	0.06	0.05	0.04	0.05	0.14	0.06	0.05	0.05	0.03	0.07	0.05	0.07	0.11	0.03	0.1	0.04	0.09
cg09155852	0.05	0.03	0.04	0.17	0.07	0.06	0.05	0.07	0.04	0.07	0.05	0.11	0.07	0.06	0.05	0.05	0.09	0.06	0.05	0.04	0.05	0.08	0.04	0.05	0.04	0.05	0.07	0.07	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.06	0.05	0.05	0.04	0.04	0.04	0.05	0.04	0.07	0.06	0.09	0.04	0.05	0.04	0.05	0.04	0.05	0.06	0.05	0.05	0.07	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.2	0.04	0.04	0.08	0.08	0.07	0.07	0.07	0.07	0.06	0.05	0.2	0.09
cg06765514	0.5	0.06	0.05	0.19	0.05	0.85	0.28	0.87	0.22	0.05	0.27	0.05	0.33	0.05	0.23	0.07	0.33	0.05	0.06	0.78	0.04	0.55	0.06	0.05	0.05	0.08	0.05	0.15	0.05	0.07	0.05	0.49	0.05	0.64	0.07	0.06	0.57	0.05	0.07	0.23	0.1	0.05	0.1	0.08	0.04	0.14	0.14	0.23	0.05	0.04	0.06	0.14	0.06	0.04	0.05	0.09	0.1	0.82	0.07	0.04	0.05	0.06	0.09	0.04	0.07	0.03	0.86	0.05	0.06	0.07	0.06	0.08	0.19	0.06	0.05	0.08	0.05	0.3	0.11
cg27627570	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.14	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.03	0.02	0.03	0.03	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.04	0.02	0.03	0.02	0.33	0.02	0.02	0.22	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.02
cg11628487	0.07	0.08	0.08	0.13	0.07	0.07	0.2	0.06	0.11	0.07	0.12	0.11	0.07	0.08	0.08	0.1	0.09	0.1	0.08	0.07	0.08	0.05	0.12	0.08	0.09	0.08	0.09	0.07	0.07	0.06	0.07	0.08	0.08	0.07	0.11	0.06	0.08	0.07	0.11	0.06	0.13	0.09	0.08	0.06	0.07	0.09	0.1	0.07	0.07	0.08	0.05	0.1	0.06	0.08	0.12	0.09	0.07	0.08	0.08	0.08	0.07	0.09	0.36	0.07	0.07	0.09	0.14	0.06	0.07	0.26	0.27	0.08	0.07	0.07	0.08	0.05	0.07	0.41	0.16
cg19973884	0.05	0.05	0.04	0.03	0.05	0.04	0.14	0.17	0.04	0.03	0.05	0.04	0.06	0.04	0.1	0.04	0.07	0.04	0.07	0.04	0.04	0.05	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.04	0.05	0.06	0.04	0.04	0.04	0.05	0.04	0.04	0.04	0.1	0.04	0.04	0.05	0.05	0.05	0.04	0.06	0.05	0.04	0.05	0.04	0.04	0.06	0.05	0.04	0.03	0.04	0.44	0.04	0.03	0.04	0.04	0.04	0.05	0.05	0.04	0.26	0.04	0.04	0.05	0.04	0.04	0.04	0.03	0.04	0.03	0.05	0.04	0.12
cg13812587	0.04	0.04	0.06	0.45	0.06	0.77	0.54	0.32	0.67	0.07	0.07	0.52	0.29	0.56	0.27	0.18	0.2	0.08	0.08	0.08	0.12	0.07	0.46	0.07	0.57	0.07	0.19	0.11	0.08	0.11	0.06	0.08	0.07	0.2	0.29	0.04	0.35	0.24	0.45	0.1	0.48	0.19	0.24	0.05	0.1	0.12	0.46	0.11	0.1	0.06	0.08	0.06	0.04	0.33	0.08	0.36	0.08	0.09	0.06	0.07	0.26	0.13	0.28	0.08	0.18	0.08	0.56	0.07	0.06	0.1	0.44	0.58	0.11	0.11	0.09	0.54	0.1	0.63	0.43
cg01027739	0.05	0.04	0.08	0.07	0.11	0.26	0.41	0.09	0.38	0.16	0.1	0.08	0.06	0.07	0.07	0.13	0.28	0.07	0.05	0.06	0.07	0.04	0.06	0.07	0.06	0.04	0.06	0.09	0.03	0.07	0.05	0.39	0.75	0.08	0.07	0.04	0.05	0.14	0.07	0.33	0.07	0.05	0.04	0.06	0.05	0.05	0.1	0.06	0.06	0.04	0.15	0.07	0.05	0.05	0.08	0.42	0.47	0.09	0.09	0.06	0.06	0.08	0.1	0.06	0.05	0.09	0.15	0.04	0.06	0.05	0.51	0.06	0.18	0.11	0.08	0.08	0.26	0.17	0.15
cg02205739	0.15	0.05	0.05	0.11	0.06	0.39	0.15	0.82	0.37	0.1	0.42	0.05	0.04	0.05	0.07	0.11	0.06	0.05	0.05	0.06	0.04	0.04	0.07	0.03	0.07	0.06	0.05	0.63	0.04	0.44	0.04	0.63	0.04	0.48	0.04	0.05	0.04	0.04	0.04	0.19	0.1	0.05	0.04	0.04	0.05	0.07	0.36	0.06	0.06	0.04	0.06	0.06	0.05	0.05	0.05	0.54	0.03	0.82	0.14	0.04	0.04	0.05	0.08	0.05	0.43	0.04	0.76	0.04	0.05	0.09	0.07	0.22	0.23	0.05	0.04	0.05	0.06	0.08	0.05
cg25179291	0.06	0.04	0.05	0.05	0.07	0.04	0.04	0.04	0.07	0.04	0.04	0.04	0.05	0.06	0.05	0.04	0.07	0.05	0.04	0.04	0.06	0.05	0.07	0.05	0.04	0.05	0.07	0.05	0.04	0.05	0.06	0.09	0.05	0.05	0.05	0.03	0.04	0.05	0.05	0.06	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.03	0.06	0.04	0.05	0.05	0.05	0.05	0.04	0.05	0.04	0.03	0.06	0.05	0.04	0.05	0.05	0.06	0.05	0.03	0.04	0.04	0.05	0.04	0.05	0.06	0.04	0.04	0.04	0.04	0.05	0.05	0.05
cg23282771	0.06	0.03	0.04	0.03	0.04	0.04	0.54	0.71	0.04	0.03	0.04	0.04	0.67	0.04	0.03	0.07	0.04	0.04	0.03	0.83	0.04	0.71	0.04	0.03	0.03	0.02	0.04	0.03	0.04	0.03	0.03	0.77	0.03	0.68	0.03	0.03	0.73	0.04	0.04	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.03	0.04	0.04	0.79	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.03	0.03	0.04	0.1	0.03	0.04	0.03	0.03	0.03	0.03	0.19	0.03
cg12539975	0.37	0.05	0.5	0.06	0.06	0.45	0.23	0.63	0.06	0.15	0.15	0.05	0.75	0.09	0.05	0.06	0.04	0.07	0.05	0.05	0.05	0.72	0.06	0.06	0.05	0.05	0.04	0.07	0.05	0.05	0.05	0.05	0.06	0.65	0.07	0.05	0.63	0.05	0.05	0.12	0.04	0.06	0.05	0.06	0.05	0.06	0.07	0.05	0.05	0.05	0.06	0.07	0.05	0.06	0.05	0.05	0.06	0.83	0.05	0.04	0.05	0.05	0.07	0.05	0.07	0.09	0.08	0.08	0.05	0.06	0.25	0.05	0.08	0.07	0.07	0.05	0.07	0.28	0.11
cg00168082	0.08	0.1	0.05	0.05	0.06	0.05	0.06	0.05	0.06	0.04	0.07	0.05	0.05	0.06	0.05	0.06	0.07	0.07	0.06	0.04	0.07	0.08	0.07	0.06	0.05	0.05	0.05	0.05	0.05	0.06	0.07	0.05	0.06	0.06	0.05	0.06	0.05	0.06	0.04	0.06	0.06	0.06	0.05	0.05	0.07	0.05	0.03	0.05	0.04	0.05	0.06	0.06	0.06	0.06	0.07	0.05	0.05	0.05	0.07	0.05	0.04	0.04	0.07	0.06	0.08	0.05	0.05	0.06	0.07	0.04	0.06	0.05	0.04	0.06	0.04	0.07	0.05	0.05	0.05
cg18986964	0.06	0.08	0.06	0.04	0.08	0.04	0.07	0.05	0.05	0.05	0.1	0.05	0.06	0.04	0.05	0.07	0.05	0.11	0.08	0.06	0.09	0.06	0.05	0.07	0.06	0.05	0.06	0.06	0.06	0.07	0.21	0.07	0.05	0.06	0.08	0.06	0.05	0.04	0.05	0.06	0.04	0.06	0.08	0.05	0.08	0.04	0.04	0.06	0.07	0.06	0.08	0.06	0.07	0.09	0.07	0.03	0.06	0.05	0.07	0.05	0.07	0.04	0.09	0.07	0.1	0.04	0.07	0.1	0.07	0.05	0.04	0.04	0.06	0.06	0.07	0.08	0.06	0.47	0.05
cg27024922	0.03	0.11	0.06	0.17	0.05	0.07	0.26	0.05	0.24	0.09	0.04	0.07	0.04	0.07	0.07	0.05	0.09	0.12	0.08	0.06	0.22	0.04	0.24	0.05	0.09	0.03	0.09	0.08	0.11	0.14	0.04	0.16	0.05	0.04	0.05	0.04	0.04	0.48	0.2	0.05	0.09	0.07	0.05	0.04	0.18	0.05	0.09	0.04	0.09	0.05	0.06	0.12	0.09	0.04	0.05	0.05	0.04	0.03	0.05	0.06	0.07	0.12	0.33	0.12	0.04	0.07	0.12	0.08	0.05	0.06	0.37	0.07	0.05	0.06	0.05	0.1	0.18	0.24	0.47
cg04981414	0.03	0.03	0.03	0.03	0.03	0.03	0.05	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.04	0.04	0.05	0.04	0.02	0.04	0.03	0.04	0.32	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.06	0.02	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.04	0.05	0.03	0.03	0.03
cg18718102	0.06	0.07	0.27	0.11	0.08	0.65	0.15	0.49	0.14	0.17	0.33	0.08	0.34	0.24	0.45	0.21	0.2	0.09	0.08	0.46	0.07	0.1	0.09	0.09	0.1	0.11	0.11	0.67	0.08	0.14	0.15	0.15	0.07	0.27	0.07	0.1	0.36	0.09	0.48	0.18	0.11	0.06	0.07	0.07	0.3	0.13	0.46	0.14	0.08	0.07	0.09	0.13	0.13	0.08	0.09	0.14	0.22	0.37	0.12	0.1	0.06	0.09	0.14	0.16	0.13	0.08	0.51	0.09	0.09	0.1	0.09	0.21	0.1	0.19	0.11	0.09	0.07	0.08	0.07
cg10570177	0.04	0.04	0.04	0.05	0.05	0.04	0.13	0.05	0.03	0.09	0.04	0.07	0.05	0.06	0.04	0.08	0.07	0.07	0.05	0.04	0.04	0.04	0.07	0.07	0.07	0.03	0.1	0.06	0.05	0.04	0.04	0.04	0.03	0.04	0.05	0.04	0.05	0.05	0.04	0.05	0.05	0.06	0.05	0.04	0.05	0.05	0.04	0.04	0.06	0.04	0.09	0.05	0.03	0.05	0.05	0.05	0.04	0.04	0.04	0.05	0.05	0.08	0.13	0.05	0.04	0.06	0.04	0.05	0.05	0.05	0.06	0.04	0.04	0.19	0.11	0.04	0.04	0.37	0.04
cg25580018	0.67	0.07	0.65	0.06	0.08	0.66	0.08	0.64	0.64	0.07	0.59	0.55	0.67	0.14	0.66	0.52	0.29	0.08	0.07	0.73	0.08	0.64	0.06	0.08	0.69	0.69	0.6	0.66	0.08	0.69	0.07	0.71	0.12	0.68	0.49	0.22	0.67	0.65	0.73	0.74	0.55	0.62	0.06	0.09	0.66	0.72	0.62	0.09	0.08	0.08	0.17	0.63	0.08	0.31	0.07	0.72	0.62	0.71	0.66	0.07	0.07	0.09	0.42	0.09	0.5	0.06	0.67	0.06	0.07	0.67	0.27	0.64	0.64	0.16	0.07	0.17	0.07	0.65	0.68
cg14201417	0.84	0.05	0.81	0.38	0.06	0.81	0.28	0.79	0.48	0.08	0.65	0.46	0.8	0.56	0.78	0.36	0.28	0.09	0.05	0.86	0.07	0.78	0.07	0.05	0.59	0.57	0.06	0.22	0.08	0.69	0.05	0.43	0.07	0.8	0.5	0.12	0.81	0.38	0.6	0.76	0.69	0.07	0.07	0.12	0.2	0.81	0.75	0.11	0.06	0.06	0.19	0.56	0.2	0.12	0.06	0.32	0.62	0.88	0.76	0.04	0.07	0.07	0.62	0.18	0.59	0.22	0.82	0.09	0.1	0.82	0.41	0.57	0.62	0.12	0.08	0.57	0.04	0.75	0.11
cg13134662	0.07	0.08	0.07	0.09	0.1	0.07	0.06	0.07	0.08	0.09	0.1	0.06	0.06	0.08	0.07	0.08	0.1	0.09	0.09	0.07	0.1	0.08	0.09	0.09	0.07	0.09	0.09	0.08	0.07	0.07	0.08	0.07	0.07	0.08	0.15	0.06	0.08	0.1	0.1	0.07	0.08	0.07	0.08	0.06	0.07	0.08	0.08	0.07	0.09	0.09	0.08	0.09	0.07	0.05	0.07	0.1	0.06	0.05	0.1	0.08	0.08	0.1	0.07	0.09	0.08	0.09	0.07	0.07	0.08	0.09	0.08	0.08	0.08	0.09	0.07	0.11	0.07	0.15	0.09
cg09800519	0.09	0.13	0.09	0.1	0.1	0.09	0.07	0.1	0.1	0.08	0.11	0.08	0.09	0.08	0.09	0.1	0.1	0.1	0.09	0.1	0.1	0.11	0.12	0.09	0.08	0.09	0.1	0.1	0.1	0.11	0.09	0.1	0.08	0.11	0.08	0.08	0.08	0.1	0.1	0.1	0.1	0.08	0.1	0.09	0.11	0.1	0.11	0.08	0.09	0.09	0.07	0.11	0.1	0.09	0.08	0.1	0.11	0.1	0.1	0.09	0.09	0.09	0.09	0.1	0.08	0.08	0.08	0.09	0.1	0.1	0.09	0.1	0.09	0.09	0.11	0.09	0.12	0.11	0.1
cg16408394	0.06	0.06	0.04	0.05	0.05	0.07	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.07	0.05	0.06	0.07	0.05	0.04	0.06	0.06	0.04	0.04	0.06	0.05	0.05	0.14	0.06	0.06	0.05	0.05	0.13	0.04	0.06	0.06	0.05	0.06	0.05	0.04	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.04	0.09	0.04	0.09	0.05	0.06	0.04	0.04	0.13	0.05	0.04	0.05	0.05	0.05	0.09	0.06	0.1	0.03	0.07	0.06	0.05	0.06	0.06	0.05	0.06	0.06	0.06	0.08	0.05
cg15769409	0.05	0.04	0.04	0.07	0.07	0.05	0.07	0.04	0.06	0.06	0.05	0.05	0.05	0.05	0.04	0.05	0.07	0.07	0.06	0.03	0.05	0.06	0.05	0.05	0.05	0.08	0.05	0.06	0.04	0.05	0.04	0.05	0.05	0.05	0.06	0.04	0.05	0.06	0.04	0.05	0.05	0.05	0.05	0.04	0.05	0.05	0.06	0.04	0.06	0.04	0.04	0.05	0.07	0.04	0.05	0.06	0.03	0.04	0.06	0.05	0.04	0.06	0.07	0.05	0.05	0.05	0.06	0.03	0.05	0.06	0.04	0.06	0.05	0.05	0.04	0.05	0.05	0.04	0.04
cg21010262	0.1	0.07	0.05	0.11	0.27	0.71	0.34	0.16	0.07	0.11	0.27	0.07	0.19	0.08	0.07	0.12	0.17	0.11	0.1	0.35	0.08	0.08	0.08	0.07	0.05	0.07	0.09	0.1	0.06	0.15	0.07	0.14	0.07	0.17	0.08	0.07	0.12	0.1	0.51	0.25	0.14	0.07	0.07	0.1	0.07	0.07	0.14	0.28	0.07	0.12	0.08	0.09	0.27	0.06	0.07	0.07	0.08	0.17	0.1	0.11	0.08	0.09	0.1	0.21	0.08	0.08	0.12	0.05	0.06	0.12	0.07	0.51	0.08	0.16	0.09	0.07	0.09	0.08	0.49
cg18285951	0.05	0.04	0.04	0.04	0.05	0.05	0.09	0.05	0.36	0.04	0.06	0.05	0.05	0.05	0.04	0.06	0.14	0.05	0.05	0.05	0.05	0.05	0.07	0.13	0.04	0.04	0.06	0.04	0.04	0.67	0.06	0.04	0.05	0.04	0.04	0.05	0.04	0.04	0.05	0.05	0.04	0.06	0.04	0.04	0.04	0.05	0.04	0.05	0.04	0.07	0.06	0.07	0.04	0.05	0.04	0.04	0.04	0.05	0.04	0.04	0.06	0.04	0.07	0.06	0.14	0.05	0.33	0.06	0.05	0.04	0.03	0.09	0.04	0.05	0.04	0.06	0.04	0.07	0.04
cg26944151	0.11	0.06	0.06	0.05	0.06	0.09	0.51	0.07	0.08	0.09	0.54	0.07	0.06	0.07	0.1	0.6	0.07	0.07	0.06	0.04	0.11	0.06	0.15	0.09	0.06	0.26	0.06	0.11	0.06	0.07	0.63	0.06	0.09	0.09	0.12	0.08	0.05	0.07	0.49	0.07	0.07	0.06	0.66	0.06	0.06	0.07	0.09	0.07	0.06	0.08	0.15	0.42	0.05	0.15	0.07	0.05	0.05	0.16	0.05	0.06	0.07	0.07	0.36	0.06	0.48	0.09	0.56	0.08	0.09	0.07	0.07	0.14	0.05	0.05	0.07	0.25	0.06	0.65	0.15
cg15785720	0.05	0.06	0.06	0.04	0.07	0.05	0.45	0.05	0.05	0.05	0.04	0.22	0.04	0.05	0.04	0.04	0.06	0.07	0.05	0.06	0.05	0.05	0.04	0.04	0.05	0.05	0.05	0.05	0.05	0.04	0.05	0.53	0.04	0.05	0.04	0.03	0.05	0.04	0.05	0.04	0.05	0.04	0.05	0.04	0.05	0.05	0.05	0.05	0.05	0.05	0.04	0.06	0.05	0.05	0.05	0.06	0.04	0.04	0.05	0.05	0.05	0.05	0.03	0.05	0.04	0.06	0.05	0.04	0.06	0.06	0.05	0.04	0.07	0.05	0.04	0.04	0.04	0.05	0.04
cg22419075	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.03	0.03	0.04	0.02	0.04	0.06	0.04	0.03	0.06	0.04	0.05	0.04	0.04	0.03	0.04	0.03	0.04	0.05	0.03	0.05	0.04	0.05	0.06	0.04	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.04	0.04	0.05	0.03	0.04	0.04	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.03	0.03	0.04	0.05	0.04	0.06	0.03	0.04
cg07172280	0.05	0.03	0.04	0.03	0.04	0.04	0.06	0.04	0.04	0.03	0.06	0.05	0.04	0.03	0.03	0.04	0.04	0.04	0.03	0.06	0.03	0.03	0.04	0.06	0.04	0.05	0.05	0.07	0.03	0.06	0.04	0.09	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.05	0.04	0.03	0.04	0.04	0.08	0.05	0.09	0.04	0.04	0.04	0.06	0.03	0.04	0.03	0.06	0.04	0.04	0.03	0.04	0.03	0.04	0.09	0.04	0.06	0.03	0.07	0.04	0.05	0.04	0.24	0.06	0.04	0.04	0.05	0.04	0.03	0.05	0.08
cg03041841	0.04	0.03	0.03	0.03	0.03	0.03	0.17	0.03	0.03	0.1	0.13	0.05	0.03	0.04	0.03	0.32	0.14	0.08	0.04	0.1	0.09	0.03	0.07	0.06	0.03	0.03	0.05	0.07	0.03	0.68	0.04	0.05	0.04	0.02	0.03	0.02	0.03	0.03	0.03	0.03	0.08	0.06	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.05	0.03	0.04	0.06	0.07	0.18	0.03	0.03	0.03	0.03	0.06	0.04	0.24	0.04	0.03	0.06	0.14	0.04	0.03	0.03	0.02	0.43	0.04	0.06	0.17	0.03	0.05	0.57	0.03
cg22336401	0.04	0.03	0.02	0.03	0.03	0.04	0.45	0.03	0.06	0.03	0.03	0.03	0.04	0.35	0.31	0.03	0.03	0.04	0.03	0.04	0.04	0.05	0.03	0.03	0.49	0.02	0.03	0.19	0.06	0.05	0.03	0.1	0.03	0.04	0.04	0.03	0.04	0.04	0.16	0.05	0.32	0.02	0.73	0.03	0.03	0.07	0.32	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.02	0.02	0.03	0.04	0.04	0.02	0.02	0.03	0.12	0.39	0.02	0.02	0.04	0.03	0.03	0.32	0.05	0.03	0.19	0.03	0.05	0.23	0.16	0.28	0.04
cg26374101	0.12	0.1	0.06	0.07	0.07	0.34	0.42	0.21	0.25	0.06	0.18	0.05	0.13	0.05	0.08	0.12	0.14	0.07	0.06	0.05	0.08	0.07	0.06	0.05	0.06	0.06	0.08	0.07	0.11	0.05	0.05	0.17	0.05	0.16	0.09	0.05	0.05	0.05	0.06	0.17	0.06	0.12	0.09	0.05	0.06	0.07	0.1	0.1	0.05	0.07	0.09	0.07	0.07	0.09	0.08	0.12	0.08	0.15	0.07	0.06	0.08	0.09	0.06	0.07	0.42	0.06	0.16	0.07	0.06	0.29	0.05	0.11	0.06	0.08	0.05	0.04	0.06	0.07	0.16
cg02813021	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.03	0.03	0.04	0.03	0.03	0.04
